,name,summary
0,Animal Farm,"Old Major, the old boar on the Manor Farm, calls the animals on the farm for a meeting. He compares the humans to parasites and teaches the animals a revolutionary song, 'Beasts of England' When Major dies, two young pigs, Snowball and Napoleon, assume command and turn his dream into a philosophy. They adopt Seven Commandments of Animal-ism, the most important of which is, ""All animals are equal"". Snowball attempts to teach the animals reading and writing; food is plentiful, and the farm runs smoothly. The pigs elevate themselves to positions of leadership and set aside special food items, ostensibly for their personal health. Napoleon and Snowball struggle for leadership. When Snowball announces his plans to build a windmill, Napoleon has his dogs chase Snowball away and declares himself leader. Napoleon enacts changes to the governance structure of the farm, replacing meetings with a committee of pigs, who will run the farm. He and the pigs abuse their power, imposing more control while reserving privileges for themselves and rewriting history, villainising Snowball. The animals remain convinced that they are better off than they were when under Mr Jones. Mr Frederick, one of the neighbouring farmers, uses blasting powder to blow up the restored windmill. Though the animals win the battle, they do so at great cost, as many, including Boxer the workhorse, are wounded. Despite his injuries, Boxer continues working harder and harder, until he collapses while working on the windmill and dies in the hands of the best medical care. Napoleon sends for a van to take Boxer to the veterinary surgeon's, explaining that better care can be given there. Squealer and Napoleon indulge in the vices of humans (drinking, sleeping in beds, trading in trading accounts, etc) to alter the account in order to exercise control of the people's beliefs about their society and society. Napoleon announces an alliance with the humans, against the labouring classes of both ""worlds"". He abolishes practices and traditions related to the Revolution, and changes the name of the Farm to ""The Manor Farm"" The animals, overhearing the conversation, notice that the faces of the pigs have begun changing. During a poker match, an argument breaks out between Napoleon and Mr Pilkington and the animals realise that the Faces of the Pigs look like the facesof humans, and no one can tell the difference between them. The original commandments are: Whatever goes upon two legs, or has wings, is an enemy."
1,A Clockwork Orange,"Alex, a teenager living in near-future England, leads his gang on nightly orgies of opportunistic, random ""ultra-violence"" Alex's friends (""droogs"" in the novel's Anglo-Russian slang, Nadsat) are: Dim, a slow-witted bruiser who is the gang's muscle; Georgie, an ambitious second-in-command; and Pete, who mostly plays along as the droogs indulge their taste for ultra-violence. In a metafictional touch, the husband is a writer working on a manuscript called ""A Clockwork Orange,"" and Alex contemptuously reads out a paragraph that states the novel’s main theme before shredding the manuscript. The writer does not recognize Alex because the gang wore masks during the assault, and does not know Alex is the writer, whose name is revealed as F Alexander. Alex is also intelligent and quick-witting, with sophisticated taste in music, being particularly fond of Beethoven, or ""Lovely Ludwig Van."" Alex skips school the next day. Since his parents are now renting his room to a lodger, Alex wanders the streets and enters a public library where he hopes to learn a painless way to commit suicide. There, he accidentally encounters the old scholar he assaulted earlier in the book who, keen to turn out Alex, beats him up with the help of his friends. The two policemen take Alex outside of the town and beat him up until he collapses at the door of an isolated cottage. During this sequence it is revealed that Mrs Alexander died from the injuries inflicted during the gang-rape, and her husband has decided to continue living in ""where her horrid memory persists"" despite the memories of Alexander. The first half of the story is the first half and his droogs invaded the house and his memories of Mrs Alexander are invaded. The second half is the second half and he realizes that it is too late and he is living in a ""fragrant and horrid"" house. The third half is when he shelters and questions him and shelters him in a shelter and asks him about the memories and questions about the horrid memories he persists in living in. The fourth and final section is when Alex is released into society and he shelters himself in the shelter and questions the memories about him and the memories he continues to live in despite the memory of her. The last half is a tragic pathos, as Alex insists on following through on Georgie's idea to burgle the home of a wealthy old woman."
2,The Plague,"Thousands of rats die in the streets of the town of Oran. Authorities respond by declaring martial law and imposing a curfew. When the daily number of deaths jumps to 30, the town is sealed and an outbreak of plague is officially declared. The plague begins to affect various characters, who begin to feel isolated and introverted. At the end of October, a new anti-plague serum is tried for the first time, but it cannot save the life of the Prefect, M. Othon, who has died of the plague. The text of The Plague is divided into five parts: the first, the second, the third, the fourth, the fifth and the sixth. The book is published by Picador, priced at $24.99, and is available in English, French, Spanish and Italian. It was published in France in 1864. It is published in the UK by Macmillan Books, priced £16.99 (pensioners) and £20 (non-fomers). It is also available in the U.S. for £15.99 and £18.99. It has been translated into English as ""The Plague: A Tale of the Black Death"" and ""The Black Death: A Biography of The Black Death"", published by MacMillan Books in 1998. The French version of the book has a different ending, with the ending being changed from ""the black death"" to ""the white plague"" The book was written in 1868 and published in 1869. It includes a prologue, the first part of which is written by Dr. Bernard Rieux, and the second part is by Jean Tarrou. The story is about a doctor and a civil servant who try to stop a plague outbreak in their town. It also includes the story of a man who tries to escape the city to join his lover in Paris, but is forced to stay after he is caught in the plague's clutches. In the last part of the novel, the main character, Dr. Cottard, tries to attend a performance of Gluck's opera Orpheus and Eurydice, but collapses with plague symptoms during the performance. He decides to stay, saying he would feel ashamed of himself if he left. The novel ends on a note of hope, as the plague seems to seem to be going away, but in fact it has spread to other parts of the world. It ends with a cliffhanger, ending on a promise of a cure."
3,An Enquiry Concerning Human Understanding,"The argument of the Enquiry proceeds by a series of incremental steps, separated into chapters which logically succeed one another. After expounding his epistemology, Hume explains how to apply his principles to specific topics. For Hume, philosophy can be split into two general parts: natural philosophy and the philosophy of human nature (or, as he calls it, ""moral philosophy"") The latter investigates both actions and thoughts, while the former investigates both thoughts and ideas. In the first part, Hume discusses how the objects of inquiry are either ""relations of ideas"" or ""matters of fact"", which is roughly the distinction between analytic and synthetic propositions. In part two, Hume inquires into how anyone can justifiably believe that experience yields any conclusions about the world. Here he is describing what would become known as the problem of induction. For us, Hume shows that experience tells us something about world because of human habit, which forces us to assume something about human nature because of habit. He also explains that there are at least three kinds of associations between ideas: resemblance, contiguity in space-time, and cause-and-effect. He argues that there must be some universal principle that must account for the various sorts of connections that exist between ideas. (Hume 1974:322) In explaining how matters of fact are entirely a product of experience, he dismisses the notion that they may be arrived at through a priori reasoning. In this chapter, he explains how thoughts tend to come in sequences, as in trains of thought. For example, the idea of the taste of an orange is far inferior to the impression (or sensation) of actually eating one. He explains how a circular argument for the validity of experience can be based neither on demonstration (since it implies that the course of nature may change) nor on the fact that experience would be a contradiction that would be circular. But in one word, he answers the question, What is the foundation of all reasonings concerning that matter of fact? He says that it is founded on the relation of cause and effect, and it is replied, it is on relation of effect and relation to experience. In a later chapter, Hume also mentions the operations of mixing, separating, and dividing. He concludes by stating that one may experience a novel idea that itself is derived from combinations of previous impressions, such as with the body of a man upon a horse to make a centaur; augmenting (as with the case of a giant, whose size has been augmented); and diminishing."
4,A Fire Upon the Deep,"The novel posits that space around the Milky Way is divided into concentric layers called Zones, each being constrained by different laws of physics. The outermost zone, the ""Transcend"", contains most of the galactic halo and is populated by incomprehensibly vast and powerful posthuman entities. A human expedition investigates a five-billion-year-old data archive that offers the possibility of unimaginable riches for the ambitious young civilization of the Straumli Realm. The expedition's facility, called High Lab, is gradually compromised by a dormant super-intelligent entity (actually encoded within the archive) later known as the Blight. The novel starts with an imaginative description of the evolution of this superintelligence through exponentially accelerating developmental stages, culminating in a transcendent, nigh-omnipotent power that is unfathomable to mere humans. It ends with Pham Nuwen extending the Slow Zone by thousands of light-years to enclose the threat of the Bllight, at the cost of thousands of uninvolved civilizations and potentially the extinction of several galactic races. It also strands Pham and the other humans on the Tines world, now in the depths of the ""Slow Zone"" where rescue by an advanced civilization is impossible. The book is published by Simon & Schuster and is available in hardback and e-book versions for $24.99 (with an MSRP of $25). The novel is available for pre-order in the U.S. and Canada, and in the UK for £16.95 (with a UK release date of £18.99). For more information on how to order a copy of the book, visit www.simonandschuster.co.uk or go to www.samaritans.com/shop/the-book/ The Book of the Book of The Book Of The Book, by Simon and Schuster, is published in the United States and Canada for £12.99 ($16.99) and £14.99 each (for UK and U.K. versions, respectively). It is also available in Australia and Europe for £9.99. For more details on the book and its plot, visit the website: http://www.simonschott.com/. For more on the novel's plot, go to http:// www.thebookofthebook.com or the website of the University of California, Los Angeles and the University of San Diego for £7.50 (for US$10)."
5,All Quiet on the Western Front,"The book tells the story of Paul Bäumer, a German soldier who joins the German army shortly after the start of World War I. The book does not focus on heroic stories of bravery, but rather gives a view of the conditions in which the soldiers find themselves. The monotony between battles, the constant threat of artillery fire and bombardments, the struggle to find food, the lack of training of young recruits and the role of random chance in the lives and deaths of the soldiers are described in detail. In the final chapter, Paul feels that that peace is coming soon, but he does not see the future as bright and shining. When he finally dies at the end of the novel, ""All Quiet on the Western Front,"" states the situation, ""The symbolizing the cheapness of human life in war is the soldier"" He feels remorse and asks forgiveness from the man's corpse. He is devastated and later confesses to Kat and Albert, who try to comfort him and reassure him that it is only part of the war. They are then sent on what Paul calls a ""good job"" They must guard a village that is being shelled too heavily. The men enjoy themselves but while evacuating the villagers, Paul and Albert are wounded. They recuperate in a Catholic hospital and Paul returns to active duty. By now, the war is nearing its end and the German Army is retreating. In despair, Paul watches as his friends fall one by one. It is the death of Kat that eventually makes Paul careless about living. He feels that he has no aims left in life and that their generation will be different and misunderstood. ""We are not youth any longer. We don't want to take the world by storm. We are fleeing from ourselves, from our life. We were eighteen and had begun to love life and the world; and we had to shoot it to pieces,"" he says. ""Ah! Mother, Mother! How can it be that I must part from you? Here I sit and there you are lying; we have so much to say, and we shall never say it."" In the end, he concludes that he ""ought never to have come [home] on leave."" Paul feels glad to be reunited with his comrades. Soon after, he volunteers to go on a patrol and kills a man for the first time in hand-to-hand combat. He watches the man die, in pain for hours. He finds that he does ""not belong here anymore, it is a foreign world"""
6,A Wizard of Earthsea,"Ged is a young boy on Gont, one of the larger islands in the north of the archipelago of Earthsea. Ged discovers by accident that he has an extraordinary talent for magic. His aunt, the village witch, teaches him the little she herself knows, but his power far exceeds hers. In the rite of passage into adulthood, he gives the boy his ""true name"", Ged, and takes him as an apprentice. In his hubris, he attempts to summon a dead spirit - a perilous spell which goes awry. The shadow seizes the chance to escape into the world and attacks him, scarring his face. He flees to what appears to be a safe haven in the castle of Benderesk, the lord of Terranon. Serret, his wife, is the same girl who taunted Ged years ago. She tries to enslave Ged using the power of a stone which harbors one ofThe ""Nameless Ones"", ancient malevolent powers that predate the world. Fortunately Ged flies away in the form of a falcon and returns to Gont and Ogion to turn the tables on his enemy. In following the shadow, Ged pursues the shadowwards across the ocean, but nearly drowned when the boat lures him into his boat onto rocks, but he manages to reach a small island inhabited by only two old people, a Kargish man and his sister. Despite their initial fear of him, they provide him with food and water and he regains his strength. He is finally able to reach the safety of Roke, where he is reunited with his sister, who were abandoned as children and have forgotten there is an outside world outside of their world. He eventually realizes that he cannot both defend the islanders against the dragon and himself against the nameless thing he summoned. He takes a desperate gamble; in the old histories, he has found the true name of a dragon which might be the one he faces. His guess is right and by using the dragon's name, Yevaud, he is able to force the dragon to vow that neither it nor its offspring will ever trouble the islander. After a painful and slow recovery, he graduates from the school. He returns to the people of Gont to help them in their fight against a powerful dragon and its maturing sons, who have been seen scouting the region. He realizes that the roles of Ged and the enemy become reversed and the roles are reversed."
7,Anyone Can Whistle,"The story is set in an imaginary American town that has gone bankrupt. The only place in town doing good business is the local sanitarium, known as ""The Cookie Jar"" A mysterious stranger, J. Bowden Hapgood, arrives asking for directions to the Cookie Jar. He is instantly taken for the new assistant. As the extended musical sequence ends, the lights black out except for a spotlight on Hap good, who announces to the audience, “You are all mad!” Seconds later, the stage set has vanished, and the cast is revealed in theater seats, holding programs, applauding the audience. The musical ends with the cast in the theater seats applauding them, as well as the cast of the show. The show was directed by Robert Altman, who also directed the film version of ""The Sound of Music"" and ""The Nutcracker"" The musical was released on September 14, 1998. It is currently on tour in the U.S., Europe, and Australia. It has been released on DVD and Blu-ray in the United States, and on Blu-Ray in the UK on November 14, 2008, and in Australia on November 15, 2008. The movie version of this article is based on the novel ""The Curious Incident of the Dog in the Night-Time"" by Stephen Sondheim and directed by Mark O'Mara. For more information on the ""Cookie Jar"" series, visit www.cnn.com/cnn/2013/01/29/the-cookie-jar-musical-theatre-theater-the-sound-of-music-theatrical-theaters/story.html#storylink=cpy. The cast of this version of the play has been remade for theBlu-Ray version, which is on sale now and will be released on November 16, 2013, in a limited edition of 10,000 copies of the book, The Cookie Jar: The Curious Case of the Bluebird and The Bluebird And The Blue Bird and the Blue Bird & The Bluebirds, by Steven Sonderman and Mark O’Mara, will be on sale for $25,000. The book will be published by Simon & Schuster, Inc. in the spring of 2013. It will also be published in the fall of 2013, as part of the company’s 20th anniversary commemorations of the 100th anniversary of the opening of the Sanitarium."
8,Blade Runner 3: Replicant Night,"Deckard is acting as a consultant to a movie crew filming the story of his Blade Runner days. He finds himself drawn into a mission on behalf of the replicants he was once assigned to kill. Meanwhile, the mystery surrounding the beginnings of the Tyrell Corporation is being dragged out into the light. The film is expected to be released on October 25, 2015. It is directed by Ridley Scott and written by Hampton Fancher and Michael Hirst. The movie is based on the book ""Blade Runner: The Rise of the Red Planet"" by Philip K. Dick and George R.R. Martin. For more information on the film, visit the film's official website and Facebook page. For additional information about the film and its cast, visit www.blakerunner.com."
9,Blade Runner 2: The Edge of Human,"Deckard has retired to an isolated shack outside the city, taking the replicant Rachael with him in a Tyrell transport container. He is approached by a woman who explains she is Sarah Tyrell, niece of Eldon Tyrell and heiress to the Tyrell Corporation. She asks Deckard to hunt down the ""missing"" sixth Replicant. At the same time, the human template for Roy Batty hires Dave Holden, the blade runner attacked by Leon, to help him hunt down Deckard. Deckard and Holden's investigations lead them to re-visit Sebastian, Bryant, and John Isidore (from the book Do Androids Dream Of Electric Sheep?), learning more about the nature of the blade runners and replicants. When Deckard, Batty, and Holden finally clash,Batty's inhuman fighting prowess leads Holden to believe he has been duped all along and that Batty is the sixthreplicant; he shoots him. However, Holden - recovering from his injuries during the fight - later finds the truth: Rachae has been killed by Tyrell agents, and the ""Rachael"" who escaped with Deckard was actually Sarah. She has completed her revenge by both destroying Tyrell,. and taking back Rachail's place. The film was directed by Ridley Scott and co-written by Hampton Fancher and Sam Raimi. It was released on October 25, 2013. It is the 50th anniversary of the release of the first Blade Runner film, which marked the beginning of the ""Blade Runner"" series. The movie was released in cinemas on October 26, 2013, and was followed by a special edition Blu-ray and DVD release on October 27, 2013 and a special-edition Blu-Ray/DVD release on December 28, 2013 (and a Blu- ray/DVD combo on December 30, 2013). The film is available in English, French, Spanish, and German, with subtitles in English and German. It has been released in the U.S. on October 28, 2014, and in the UK on October 30, 2014. It will be released in Australia on October 31, 2014 and in Australia the following day. The U.K. release date is October 29, 2014 (and the UK release date on November 1, 2014). It will also be available in the United States on November 2, 2015, and Australia on November 3, 2015 (and in the US on November 4, 2015."
10,Book of Joshua,"Joshua is a book about the conquest of the Promised Land. God commissions Joshua to take possession of the land and warns him to keep faith with the Covenant. The Israelites cross the Jordan through the miraculous intervention of God and his ark and are circumcised at Gibeath-Haaraloth (translated as hill of foreskins) The conquest begins in Canaan with Jericho, followed by Ai (central Canaan) and renews the Covenant (the covenant ceremony has elements of a divine land-grant ceremony, similar to ceremonies known from Mesopotamia). The narrative now switches to the south. With the south conquered the narrative moves to the northern campaign. A powerful multi-national coalition headed by the king of Hazor, the most important northern city, is defeated with Yahweh's help and Hazor captured and destroyed. The Gibeonites trick the Israelites into entering into an alliance with them by saying they are not Canaanites, but they are enslaved instead. Joshua performs the concluding covenant ceremony, and send the people to their inheritance. Chapter 11:16-23 summarises the campaign: Joshua has taken the entire land, and the land ""had rest from war"" Chapter 12 lists the vanquished kings on both sides of the Jordan. The Transjordanian tribes are dismissed, affirming their loyalty to YahweH. Joshua charges the leaders of the Israelite leaders to remain faithful to Yah Weh and the covenant, warning of judgement should Israel leave Yahwe H and follow other gods. The story now turns to the second, to ""put the people in possession ofThe second, is a ""covenantal land grant"": Yahwe h, as king, is issuing each tribe its territory. The ""cities of refuge"" and Levitical cities are attached to the end, since it is necessary for the tribes to receive their grants before they allocate parts of it to others. The tribes are given their grants first, and then the land is given to them in a series of stages, with the final stage being the land grant. The book ends with a speech by Joshua about what must be done if Israel is to live in peace in the land. It may have used the then-recent 701&nbsp;BCE campaign of the Assyrian king Sennacherib in Judah as his model; the hanging of the captured kings is in accordance with Assyrian practice of the 8th century. It is possible that the Deuteronomist author may have been inspired by this campaign."
11,Book of Ezra,"The Book of Ezra consists of ten chapters. chapters 1-6 cover the period from the Decree of Cyrus to the dedication of the Second Temple. chapters 7-10, dealing with the mission of Ezra, are told largely in the first person. The book contains several documents presented as historical inclusions. For the Bible text, see Bible Gateway (opens at NIV version) or see King James Version. for the Bible translation, see the Bible Gateway site. For more information on the Book of Ezra, visit: http://www.biblegateway.com/book-of-ezra/index.php?title=Ezra-Bible-King-James-Vatican-1-10-Chapters-7-10. The Bible version of this article is based on the New International Version of the King James Bible (KJV), which is published by Oxford University Press. The KJV version has been translated from the English version by the Church of England, and is available on the Internet at www.kjv.org.uk/ebb/ebm/ebh/ebc/ebk/ebg/ebt/ebv/ebp/ebl/eb1/eb8/eb9/eb0/eb10/eb7/eb5/eb2/eb6/eb3/eb4/eb11/eb12/eb13/eb14/eb15/eb16/eb17/eb18/eb21/eb19/eb20/eb22/eb24/eb23/eb26/eb28/eb29/eb30/eb32/eb31/eb34/eb33/eb38/eb36/eb27/eb40/ebbe/eb01/eb58/eb50/eb88/eb99/eb100/eb111/eb120/bee1/bee2/bee3/bee4/bee5/bee6/bee7/bee8/bee9/bee10/bee11/bee12/bee13/bee14/bee21/bee20/bee32/bee30/beebe/bee31/bee111/bee15/beebee/beeber/bee27/bee29/beeb/bee28/bee22/bee208/bee205/bee19/bee23/bee206/bee210/bee207/beebees/beekeepers/beekeeping/beekeeper/beeet."
